종목코드,시가총액,거래소,섹터
cort,3348100000.0,NASDAQ,헬스케어
aciw,3326900000.0,NASDAQ,기술
urbn,3311500000.0,NASDAQ,소비순환재
sbra,3299500000.0,NASDAQ,부동산
arwr,3287400000.0,NASDAQ,헬스케어
irtc,3280900000.0,NASDAQ,헬스케어
form,3246800000.0,NASDAQ,기술
wdfc,3241000000.0,NASDAQ,필수소비재
caty,3238000000.0,NASDAQ,금융
jjsf,3232900000.0,NASDAQ,필수소비재
